no,station_no,apt_id,dist
834,144,1165010710,881.806657477818
835,39,1165010860,940.33891381421
836,39,1165010857,872.705377535042
837,186,1165010312,549.527310654797
838,146,1165010849,807.86404544341
839,185,1165010307,919.325500488359
840,146,1165010802,455.589994714984
841,144,1165010802,987.860447069641
842,146,1165010713,719.637327381862
843,146,1165010803,475.05697362019
844,184,1165010201,863.170455386322
845,147,1165010619,916.564512167772
846,147,1165010602,747.437202413682
847,203,1165010602,863.549756836044
848,146,1165010804,729.595823495754
849,147,1165010621,693.233367970412
850,144,1165010621,805.374354511189
851,203,1165010621,810.087742332848
852,147,1165010626,893.243999364865
853,144,1165010626,958.257737960294
854,146,1165010801,473.128908176625
855,144,1165010801,911.187175054195
856,147,1165010615,709.123989034218
857,203,1165010615,809.709084601951
858,186,1165010313,395.542270075169
859,147,1165010611,470.785182094131
860,203,1165010611,584.377380540798
861,144,1165010611,844.283488440957
862,147,1165010617,978.432645866612
863,186,1165010314,239.196882416873
864,147,1165010610,400.241651445083
865,203,1165010610,471.469444543178
866,144,1165010610,922.183232053646
867,147,1165010647,625.387634037165
868,203,1165010647,717.629410879748
869,147,1165010608,690.574219444979
870,203,1165010608,736.399896408681
871,186,1165010310,664.655213612156
872,185,1165010310,949.212885955441
873,186,1165010308,850.124721532826
874,144,1165010623,804.327357502877
875,147,1165010623,837.012997370776
876,203,1165010623,946.586524154858
877,146,1165010848,893.967002551184
878,146,1165010724,848.123466712249
879,144,1165010724,959.401048888559
880,147,1165010632,955.122290980299
881,144,1165010625,905.845096170441
882,147,1165010625,982.749627185528
883,147,1165010609,522.418449325452
884,203,1165010609,564.921079369571
885,39,1165010817,804.011244306117
886,147,1165010616,583.90035265933
887,203,1165010616,699.034703017795
888,144,1165010616,917.887968808701
889,147,1165010620,559.023433520253
890,203,1165010620,677.658835802768
891,144,1165010620,832.397478753568
892,146,1165010807,972.136290126397
893,186,1165010309,612.679992545418
894,147,1165010618,992.031102654195
895,146,1165010850,839.457967438211
896,146,1165010805,632.882904743962
897,39,1165010815,819.917954408513
898,39,1165010819,624.464737247598
899,39,1165010816,888.664797107727
900,39,1165010821,754.609531241508
901,39,1165010818,733.271372141378
902,186,1165010305,865.135268967385
903,39,1165010202,852.251855540496
904,146,1165010806,574.488980266211
905,147,1165010612,581.1633336339
906,203,1165010612,660.462624554978
907,39,1165010823,240.236410830448
908,39,1165010822,415.664569245684
909,147,1165010614,713.171331200876
910,203,1165010614,806.362388658911
911,147,1165010607,731.394593794976
912,203,1165010607,808.508173448084
913,144,1165010606,333.545795262656
914,147,1165010606,490.577461066263
915,203,1165010606,567.317925662281
916,186,1165010306,721.150712930769
917,39,1165010203,912.662125783954
918,184,1165010203,978.364656338089
919,144,1165010622,753.564734104585
920,147,1165010622,771.711226015876
921,203,1165010622,881.279327862293
922,147,1165010605,487.891735945896
923,144,1165010605,551.077813857641
924,203,1165010605,595.634615067002
925,147,1165010630,958.257183236497
926,144,1165010630,975.240971305013
927,147,1165010649,588.733014536748
928,203,1165010649,693.611639203782
929,144,1165010649,999.733594204587
930,147,1165010629,916.950787247283
931,144,1165010624,760.354012486067
932,147,1165010624,864.241899024464
933,203,1165010624,967.723401556505